category_final,Orders,Revenue,Avg_Delivery_Days,Avg_Delay_Days,Late_Delivery_Rate,Avg_Review
bed_bath_table,9272,1037177.6900000001,12.344017286395966,-11.660664445844963,7.031601692626271,3.9209831588529815
health_beauty,8647,1237439.95,11.522218720453829,-11.975732745036243,7.563819728963127,4.19077834179357
sports_leisure,7529,960010.09,11.686852026390198,-12.047125353440151,6.267672007540057,4.166330764671014
computers_accessories,6529,896132.29,12.795770079148825,-12.431555728558454,6.4616582327754,3.9851388345717638
furniture_decor,6307,718344.78,12.399077557956062,-12.427236315086782,6.9790023061051105,3.9501164358377254
housewares,5743,617836.73,10.458571638070099,-12.314708901598475,4.986068338466051,4.1084070796460175
watches_gifts,5493,1166968.6300000001,12.191409579001194,-11.922106698483041,7.209817623998636,4.071612570839774
telephony,4093,310004.11,12.385205232295895,-11.384303112313937,6.946323861073522,3.9950090744101634
auto,3809,580146.14,11.768342554726967,-11.429396199182102,7.024296367572768,4.116132167152576
toys,3803,471920.79,11.2415159772108,-12.07703740401288,6.390884320039633,4.207688467299051
cool_stuff,3559,612071.86,11.907163938824793,-12.48457204185672,5.822377247115643,4.194699837750135
garden_tools,3448,471671.27,13.2267631947688,-11.966370854740775,6.562354040168146,4.081335213916314
perfumery,3086,391175.73,11.302533532041728,-12.398211624441133,6.497764530551415,4.21561004784689
baby,2809,400774.42,12.062541806020066,-11.646822742474916,7.6588628762541795,4.079204583754635
electronics,2517,155173.83,12.426373626373627,-11.139560439560439,7.582417582417582,4.067502766506824
stationery,2264,224145.67,12.282538399353275,-12.032740501212611,6.831042845594179,4.244001626677512
fashion_bags_accessories,1820,150162.75,10.634730538922156,-13.347305389221557,5.289421157684631,4.192577733199599
pet_shop,1688,211971.64,10.762201453790238,-12.529595015576325,4.9325025960539985,4.217527386541471
office_furniture,1254,269418.1,20.397497020262218,-11.81227651966627,7.985697258641239,3.5174278846153846
luggage_accessories,1019,138701.63,10.19405756731662,-12.619312906220983,4.178272980501393,4.352283317800559
consoles_games,1018,148538.37,13.145871559633028,-11.675229357798164,5.871559633027523,4.137962962962963
home_appliances,747,81856.55,10.828282828282829,-12.68560606060606,4.292929292929292,4.225602027883396
construction_tools_construction,736,142940.29,10.28322440087146,-11.635076252723312,6.318082788671024,4.090909090909091
musical_instruments,611,184340.64,12.493865030674847,-11.495398773006135,7.361963190184049,4.222910216718266
small_appliances,609,183677.02,10.358006042296072,-13.836858006042297,4.531722054380665,4.225266362252664
books_general_interest,495,45256.25,11.171641791044776,-12.152985074626866,6.156716417910448,4.511278195488722
home_construction,483,81527.42,12.758793969849247,-11.542713567839195,5.8626465661641545,3.959527824620573
food,441,28731.15,9.100200400801603,-9.867735470941884,7.014028056112225,4.262833675564682
furniture_living_room,414,67861.4,13.394789579158317,-11.733466933867735,7.214428857715431,3.937246963562753
home_confort,392,58265.15,13.027777777777779,-9.858796296296296,9.25925925925926,3.8511627906976744
audio,348,50620.5,12.892561983471074,-10.140495867768594,11.570247933884298,3.83008356545961
drinks,287,21607.04,10.03013698630137,-11.468493150684932,4.383561643835616,4.1287671232876715
market_place,274,27795.77,11.675409836065574,-14.62295081967213,3.606557377049181,4.072607260726072
books_technical,256,18755.2,10.233962264150943,-11.313207547169812,7.9245283018867925,4.393939393939394
air_conditioning,246,53323.56,11.792387543252595,-14.16955017301038,3.8062283737024223,4.052816901408451
construction_tools_lights,242,40185.0,9.225165562913908,-11.218543046357615,7.28476821192053,4.085324232081911
kitchen_dining_laundry_garden_furniture,241,45531.98,11.452554744525548,-12.430656934306569,4.37956204379562,4.033088235294118
fashion_shoes,235,23206.16,14.965384615384615,-14.784615384615385,4.230769230769231,4.28515625
industry_commerce_and_business,231,38245.81,10.358490566037736,-12.535849056603773,6.415094339622642,4.125954198473282
home_appliances_2,227,108221.6,13.373390557939913,-12.49785407725322,6.008583690987124,4.1594827586206895
food_drink,221,15033.87,10.420664206642066,-11.712177121771218,4.059040590405904,4.369003690036901
fixed_telephony,212,55355.2,12.26953125,-14.69921875,3.90625,3.758893280632411
art,195,23657.3,10.873096446700508,-12.776649746192893,6.091370558375635,4.082051282051282
costruction_tools_garden,190,25150.13,11.427350427350428,-13.517094017094017,5.555555555555555,4.1239316239316235
agro_industry_and_commerce,177,70566.1,11.223300970873787,-11.46116504854369,3.3980582524271843,4.087378640776699
computers,177,218684.14,13.050251256281408,-11.577889447236181,5.025125628140704,4.219387755102041
construction_tools_safety,159,38773.22,11.426229508196721,-12.387978142076502,2.73224043715847,3.967032967032967
signaling_and_security,138,21315.05,9.969543147208121,-12.705583756345177,4.060913705583756,4.091836734693878
christmas_supplies,125,8737.84,15.3,-12.053333333333333,10.0,4.06993006993007
fashion_underwear_beach,117,9305.95,13.275590551181102,-10.929133858267717,9.448818897637794,4.0476190476190474
fashion_male_clothing,106,10452.33,12.472,-12.712,5.6000000000000005,3.7580645161290325
costruction_tools_tools,97,15903.95,11.631067961165048,-12.20388349514563,5.825242718446602,4.444444444444445
furniture_bedroom,90,19051.8,12.757281553398059,-13.514563106796116,6.796116504854369,4.252427184466019
tablets_printing_image,79,7528.41,12.578313253012048,-12.771084337349398,6.024096385542169,4.1234567901234565
small_appliances_home_oven_and_coffee,72,46589.56,9.397260273972602,-11.58904109589041,5.47945205479452,4.438356164383562
cine_photo,63,6690.37,10.056338028169014,-11.211267605633802,5.633802816901409,4.295774647887324
dvds_blu_ray,56,4542.59,12.508196721311476,-13.360655737704919,6.557377049180328,4.180327868852459
books_imported,50,4418.86,7.666666666666667,-11.192982456140351,3.508771929824561,4.508771929824562
party_supplies,38,4465.1900000000005,8.904761904761905,-15.119047619047619,0.0,3.8333333333333335
music,38,6034.35,11.157894736842104,-14.342105263157896,5.263157894736842,4.2105263157894735
furniture_mattress_and_upholstery,37,4323.38,13.891891891891891,-7.162162162162162,13.513513513513514,3.891891891891892
fashio_female_clothing,36,2700.84,11.369565217391305,-11.347826086956522,6.521739130434782,3.9565217391304346
flowers,29,1110.04,10.696969696969697,-12.333333333333334,3.0303030303030303,4.419354838709677
fashion_sport,26,2119.51,11.4,-12.3,3.3333333333333335,4.366666666666666
diapers_and_hygiene,25,1500.79,10.243243243243244,-11.35135135135135,0.0,3.3783783783783785
home_comfort_2,24,760.27,14.066666666666666,-8.433333333333334,13.333333333333334,3.6296296296296298
arts_and_craftmanship,23,1814.01,5.291666666666667,-6.791666666666667,4.166666666666666,4.125
la_cuisine,13,2054.99,7.071428571428571,-16.357142857142858,0.0,4.0
portateis_cozinha_e_preparadores_de_alimentos,13,3933.63,7.785714285714286,-9.5,7.142857142857142,3.4285714285714284
cds_dvds_musicals,12,730.0,10.357142857142858,-16.857142857142858,0.0,4.642857142857143
fashion_childrens_clothes,7,519.95,8.142857142857142,-15.714285714285714,0.0,5.0
pc_gamer,7,1306.95,8.75,-9.625,0.0,3.625
security_and_services,2,283.28999999999996,15.0,-17.0,0.0,2.5
