Category,OrderCount
bed_bath_table,9272
health_beauty,8647
sports_leisure,7530
computers_accessories,6530
furniture_decor,6307
housewares,5743
watches_gifts,5495
telephony,4093
auto,3810
toys,3804
cool_stuff,3559
garden_tools,3448
perfumery,3086
baby,2809
electronics,2517
stationery,2264
fashion_bags_accessories,1820
pet_shop,1688
office_furniture,1254
luggage_accessories,1019
consoles_games,1018
home_appliances,747
construction_tools_construction,736
musical_instruments,611
small_appliances,609
books_general_interest,496
home_construction,483
food,441
furniture_living_room,414
home_confort,392
audio,348
drinks,287
market_place,274
books_technical,256
air_conditioning,246
construction_tools_lights,242
kitchen_dining_laundry_garden_furniture,241
fashion_shoes,235
industry_commerce_and_business,232
home_appliances_2,227
food_drink,221
fixed_telephony,212
art,195
costruction_tools_garden,190
computers,177
agro_industry_and_commerce,177
construction_tools_safety,159
signaling_and_security,138
christmas_supplies,125
fashion_underwear_beach,117
fashion_male_clothing,106
costruction_tools_tools,97
furniture_bedroom,90
tablets_printing_image,79
small_appliances_home_oven_and_coffee,72
cine_photo,63
dvds_blu_ray,56
books_imported,50
party_supplies,38
music,38
furniture_mattress_and_upholstery,37
fashio_female_clothing,36
flowers,29
fashion_sport,26
diapers_and_hygiene,25
home_comfort_2,24
arts_and_craftmanship,23
la_cuisine,13
portateis_cozinha_e_preparadores_de_alimentos,13
cds_dvds_musicals,12
pc_gamer,7
fashion_childrens_clothes,7
security_and_services,2
