category_name,total_orders,total_items_sold,category_revenue,revenue_share_pct
beleza_saude,8836,9670,1258681.34,9.26
relogios_presentes,5624,5991,1205005.68,8.87
cama_mesa_banho,9417,11115,1036988.68,7.63
esporte_lazer,7720,8641,988048.97,7.27
informatica_acessorios,6689,7827,911954.32,6.71
moveis_decoracao,6449,8334,729762.49,5.37
cool_stuff,3632,3796,635290.85,4.67
utilidades_domesticas,5884,6964,632248.66,4.65
automotivo,3897,4235,592720.11,4.36
ferramentas_jardim,3518,4347,485256.46,3.57
brinquedos,3886,4117,483946.6,3.56
bebes,2885,3065,411764.89,3.03
perfumaria,3162,3419,399124.87,2.94
telefonia,4199,4545,323667.53,2.38
moveis_escritorio,1273,1691,273960.7,2.02
papelaria,2311,2517,230943.23,1.7
pcs,181,203,222963.13,1.64
pet_shop,1710,1947,214315.41,1.58
instrumentos_musicais,628,680,191498.88,1.41
eletroportateis,630,679,190648.58,1.4
Unknown,1451,1603,179535.28,1.32
eletronicos,2550,2767,160246.74,1.18
consoles_games,1062,1137,157465.22,1.16
fashion_bolsas_e_acessorios,1864,2031,152823.54,1.12
construcao_ferramentas_construcao,748,929,144677.59,1.06
malas_acessorios,1034,1092,140429.98,1.03
eletrodomesticos_2,234,238,113317.74,0.83
casa_construcao,490,604,83088.12,0.61
eletrodomesticos,764,771,80171.53,0.59
agro_industria_e_comercio,182,212,72530.47,0.53
moveis_sala,422,503,68916.56,0.51
telefonia_fixa,217,264,59583.0,0.44
casa_conforto,397,434,58572.04,0.43
climatizacao,253,297,55024.96,0.4
audio,350,364,50688.5,0.37
portateis_casa_forno_e_cafe,75,76,47445.71,0.35
livros_interesse_geral,512,553,46856.88,0.34
moveis_cozinha_area_de_servico_jantar_e_jardim,248,281,46328.37,0.34
construcao_ferramentas_iluminacao,244,304,41080.0,0.3
construcao_ferramentas_seguranca,167,194,40544.52,0.3
industria_comercio_e_negocios,235,268,39669.61,0.29
alimentos,450,510,29393.41,0.22
market_place,280,311,28378.47,0.21
construcao_ferramentas_jardim,194,238,25715.89,0.19
artes,202,209,24202.64,0.18
fashion_calcados,240,262,23562.77,0.17
bebidas,297,379,22428.7,0.17
sinalizacao_e_seguranca,140,199,21509.23,0.16
moveis_quarto,95,109,20028.78,0.15
livros_tecnicos,260,267,19096.06,0.14
construcao_ferramentas_ferramentas,97,103,15903.95,0.12
alimentos_bebidas,227,278,15179.48,0.11
fashion_roupa_masculina,112,132,10797.82,0.08
fashion_underwear_e_moda_praia,121,131,9541.55,0.07
artigos_de_natal,128,153,8800.82,0.06
tablets_impressao_imagem,79,83,7528.41,0.06
cine_foto,65,72,6933.46,0.05
musica,38,38,6034.35,0.04
dvds_blu_ray,59,64,5999.39,0.04
livros_importados,53,60,4639.85,0.03
artigos_de_festas,39,43,4485.18,0.03
moveis_colchao_e_estofado,38,38,4368.08,0.03
portateis_cozinha_e_preparadores_de_alimentos,14,15,3968.53,0.03
fashion_roupa_feminina,39,48,2803.64,0.02
fashion_esporte,27,30,2119.51,0.02
la_cuisine,13,14,2054.99,0.02
artes_e_artesanato,23,24,1814.01,0.01
fraldas_higiene,27,39,1567.59,0.01
pc_gamer,8,9,1545.95,0.01
flores,29,33,1110.04,0.01
casa_conforto_2,24,30,760.27,0.01
cds_dvds_musicais,12,14,730.0,0.01
fashion_roupa_infanto_juvenil,8,8,569.85,0.0
seguros_e_servicos,2,2,283.29,0.0
