customer_city,customer_state,total_customers,total_orders,total_revenue
sao paulo,SP,14984,15540,1914924.54
rio de janeiro,RJ,6620,6882,992538.86
belo horizonte,MG,2672,2773,355611.13
brasilia,DF,2069,2131,301920.25
curitiba,PR,1465,1521,211738.06
porto alegre,RS,1326,1379,190562.08
campinas,SP,1398,1444,187844.53
salvador,BA,1209,1245,181104.42
guarulhos,SP,1153,1189,144268.39
niteroi,RJ,811,849,117907.12
goiania,GO,671,692,106111.17
sao bernardo do campo,SP,908,938,104540.99
santos,SP,692,713,98777.09
fortaleza,CE,643,654,97868.06
santo andre,SP,768,796,92028.6
recife,PE,590,613,89803.01
florianopolis,SC,546,570,85925.99
osasco,SP,717,746,82157.86
jundiai,SP,547,565,81310.3
belem,PA,432,443,80078.49
sao jose dos campos,SP,666,691,78650.94
sorocaba,SP,610,633,76551.76
ribeirao preto,SP,489,510,65637.01
juiz de fora,MG,415,427,65140.77
nova iguacu,RJ,432,442,60234.09
