order_month,total_orders,on_time_orders,late_orders,avg_review_score,avg_delivery_delay_days
2016-09-01,4,0,1,1.0,36.0
2016-10-01,324,268,2,3.57,-36.7
2016-12-01,1,1,0,5.0,-22.0
2017-01-01,800,728,22,4.07,-27.45
2017-02-01,1780,1604,49,4.02,-19.22
2017-03-01,2682,2430,116,4.07,-12.34
2017-04-01,2404,2152,151,4.04,-12.99
2017-05-01,3700,3439,106,4.14,-13.51
2017-06-01,3245,3040,95,4.15,-12.66
2017-07-01,4026,3764,108,4.17,-12.45
2017-08-01,4331,4071,122,4.24,-13.11
2017-09-01,4285,3968,182,4.19,-11.36
2017-10-01,4631,4291,187,4.12,-11.95
2017-11-01,7544,6384,904,3.91,-8.14
2017-12-01,5673,5102,411,4.02,-13.01
2018-01-01,7269,6666,403,4.04,-12.94
2018-02-01,6728,5629,927,3.83,-8.3
2018-03-01,7211,5675,1328,3.75,-6.43
2018-04-01,6939,6492,306,4.16,-12.89
2018-05-01,6873,6306,443,4.19,-12.19
2018-06-01,6167,6025,71,4.28,-19.24
2018-07-01,6292,5948,208,4.26,-11.44
2018-08-01,6512,5958,393,4.26,-8.16
2018-09-01,16,0,0,1.8,
2018-10-01,4,0,0,2.25,
