order_month,total_orders,total_revenue,total_freight_cost,average_order_value
2016-09-01,4,267.36,87.39,66.84
2016-10-01,324,49507.66,7301.18,152.8
2016-12-01,1,10.9,8.72,10.9
2017-01-01,800,120312.87,16875.62,150.39
2017-02-01,1780,247303.02,38977.6,138.93
2017-03-01,2682,374344.3,57704.29,139.58
2017-04-01,2404,359927.23,52495.01,149.72
2017-05-01,3700,506071.14,80119.81,136.78
2017-06-01,3245,433038.6,69924.44,133.45
2017-07-01,4026,498031.48,86940.14,123.7
2017-08-01,4331,573971.68,94232.92,132.53
2017-09-01,4285,624401.69,95997.22,145.72
2017-10-01,4631,664219.43,105092.94,143.43
2017-11-01,7544,1010271.37,168872.4,133.92
2017-12-01,5673,743914.17,119633.06,131.13
2018-01-01,7269,950030.36,157271.53,130.7
2018-02-01,6728,844178.71,142730.25,125.47
2018-03-01,7211,983213.44,171913.38,136.35
2018-04-01,6939,996647.75,163050.29,143.63
2018-05-01,6873,996517.68,153264.14,144.99
2018-06-01,6167,865124.31,157552.8,140.28
2018-07-01,6292,895507.22,163220.81,142.32
2018-08-01,6512,854686.33,148622.14,131.25
2018-09-01,16,145.0,21.46,9.06
2018-10-01,4,0.0,0.0,0.0
