seller_city,seller_state,total_sellers,total_orders,total_revenue
sao paulo,SP,694,24666.0,2702878.14
ibitinga,SP,49,6716.0,624592.94
curitiba,PR,124,2657.0,467821.52
rio de janeiro,RJ,93,2189.0,358126.92
guarulhos,SP,50,2073.0,329494.38
ribeirao preto,SP,52,2019.0,275976.44
itaquaquecetuba,SP,9,1243.0,230568.12
guariba,SP,1,1132.0,229472.63
santo andre,SP,45,2711.0,228561.6
lauro de freitas,BA,2,359.0,225525.05
piracicaba,SP,12,1626.0,212677.82
maringa,PR,40,1879.0,207257.51
barueri,SP,13,462.0,196053.17
sao jose do rio preto,SP,33,1974.0,195863.38
sumare,SP,5,607.0,195825.21
belo horizonte,MG,66,2294.0,193243.58
sao bernardo do campo,SP,32,1015.0,179363.91
campinas,SP,41,1294.0,179285.45
teresopolis,RJ,2,223.0,130342.09
salto,SP,9,1225.0,126274.45
petropolis,RJ,6,776.0,117649.8
santa barbara d´oeste,SP,2,328.0,112500.31
limeira,SP,17,837.0,112472.92
porto alegre,RS,27,718.0,103366.3
ilicinea,MG,1,718.0,101901.16
