seller_id,seller_city,seller_state,total_orders,avg_review_score
48efc9d94a9834137efd9ea76b065a38,curitiba,PR,33,5.0
2addf05f476d0637864454e93ba673d5,brasilia,DF,12,5.0
41c2bad7229b0c25e6becf179ebf63ff,natal,RN,20,4.96
334cab711dee080b079fa5779b584783,santo andre,SP,11,4.96
b1fecf4da1fa2689bccffa0121953643,campo grande,MS,19,4.95
9d681c7e12db302cb261e721040dde65,curitiba,PR,13,4.93
2d518637f53161b973e01f56ea4bb88e,sao paulo,SP,13,4.92
d4910f1cdcfdabd48d6b316e395d4a23,santo andre,SP,11,4.92
788e857f317e53de488d393e65a80f45,sao paulo,SP,11,4.91
2f4b0d3b9634b647d4edee577d7ebb7e,sao paulo,SP,10,4.91
f44b6f775a2b390380e0e30b5c9d3eee,sao paulo,SP,10,4.9
5b2e94f2c22b39ccc24d34ad0f669672,sao paulo,SP,10,4.9
ffad1e7127fb622cb64a900751590acd,americana,SP,10,4.87
30a81d8cf85fb2ada1b1b094c9583a95,sao paulo,SP,17,4.85
02f5837340d7eb4f653d676c7256523a,curitiba,PR,30,4.83
d9bd94811c3338dceb4181f3dbc0c73e,sao paulo,SP,54,4.82
d4f117125b59ce73c3302f88ee40c458,sao paulo,SP,17,4.82
b080809eaacb49e5ca07290981472431,belo horizonte,MG,11,4.82
5a6a02f419701fc8c605af71d4fc57a4,americana,SP,10,4.82
cac63f48c38cd7d002a7e846dcd99a23,sumare,SP,10,4.82
0ff83046c3fa22efee8ecf291888b191,caxias do sul,RS,10,4.82
d13e50eaa47b4cbe9eb81465865d8cfc,santo andre,SP,67,4.81
42fa4ee7240e9b8eb4576358ec142ba7,caxias do sul,RS,22,4.81
bbaff50f3b708fda865918715276cd87,atibaia,SP,12,4.81
5f26c1408a65b42a7224cd463bdf3292,arapongas,PR,10,4.8
b127efdabeffb5d559349c7b172eb75d,sao paulo,SP,10,4.8
54583ab379489add547fe47b628db589,sao bernardo do campo,SP,10,4.8
9dd59e43f0c9f0553244e8f9c2fb247e,foz do iguacu,PR,10,4.8
52562a9f449c3dc3d53f5f5b9ed74903,parnamirim,RN,14,4.79
7ade73f1b9b4e965f9009a4c3a7e2c15,bauru,SP,27,4.78
77e4abfd739aed9c46480f90f81c0eb4,brasilia,DF,18,4.78
da6a60cc8cc724fe51be021ff8be779c,sao pedro da aldeia,RJ,12,4.77
aac51c486b672a9850d59f3e84b1cf88,sao paulo,SP,10,4.77
3785b653b1b82de85ab47dd139938091,ampere,PR,21,4.76
60562ab00b8054280520d390c8c0045c,sao paulo,SP,17,4.76
83e197e95a1bbabc8c75e883ed016c47,mage,RJ,47,4.75
a2b5b6105ea5942300631d2e76f4ffe0,osasco,SP,16,4.75
128f9bfbe4c7d5185033914b1de3d39a,atibaia,SP,14,4.75
985c92cc412091f8529c12d7f23d3fef,sao joao del rei,MG,12,4.75
257e61d3251fb5efb9daadddbc2cf7ca,apucarana,PR,12,4.75
59cd88080b93f3c18508673122d26169,praia grande,SP,10,4.75
5a93f3ab0ef4c84ed5e1b5dbf23978bc,monteiro lobato,SP,39,4.73
013900e863eace745d3ec7614cab5b1a,curitiba,PR,23,4.73
7238a95bb63ef7e498389fb863b834a1,limeira,SP,15,4.73
f0e103c63864d5405b958d984b6e94c9,osasco,SP,11,4.73
89a51f50b8095ea78d5768f34c13a76f,brasilia,DF,10,4.73
d566c37fa119d5e66c4e9052e83ee4ea,sao paulo,SP,65,4.72
82cb9f452fe8334df74b22d37824b431,caxias do sul,RS,14,4.72
6061155addc1e54b4cfb51c1c2a32ad8,campinas,SP,28,4.71
0eaa7e33d73809f1f925f7d07c506cbd,santo andre,SP,15,4.71
