seller_id,seller_city,seller_state,total_orders,total_items_sold,seller_revenue,avg_item_price
4869f7a5dfa277a7dca6462dcf3b52b2,guariba,SP,1132,1156,229472.63,198.51
53243585a1d6dc2643021fd1853d8905,lauro de freitas,BA,358,410,222776.05,543.36
4a3ca9315b744ce9f8e9374361493884,ibitinga,SP,1806,1987,200472.92,100.89
fa1c13f2614d7b5c4749cbc52fecda94,sumare,SP,585,586,194042.03,331.13
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,SP,982,1364,187923.89,137.77
7e93a43ef30c4f03f38b393420bc753a,barueri,SP,336,340,176431.87,518.92
da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,1314,1551,160236.57,103.31
7a67c85e85bb2ce8582c35f2203ad736,sao paulo,SP,1160,1171,141745.53,121.05
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,915,1428,138968.55,97.32
955fee9216a65b617aa5c0531780ce60,sao paulo,SP,1287,1499,135171.7,90.17
46dc3b2cc0980fb8ec44634e21d2718e,rio de janeiro,RJ,521,542,128111.19,236.37
6560211a19b47992c3666cc44a7e94c0,sao paulo,SP,1854,2033,123304.83,60.65
620c87c171fb2a6dd6e8bb4dec959fc6,petropolis,RJ,740,798,114774.5,143.83
7d13fca15225358621be4086e1eb0964,ribeirao preto,SP,565,578,113628.97,196.59
5dceca129747e92ff8ef7a997dc4f8ca,santa barbara d´oeste,SP,325,346,112155.53,324.15
1f50f920176fa81dab994f9023523100,sao jose do rio preto,SP,1404,1931,106939.21,55.38
cc419e0650a3c5ba77189a1882b7556a,santo andre,SP,1706,1775,104288.42,58.75
a1043bafd471dff536d0c462352beb48,ilicinea,MG,718,770,101901.16,132.34
3d871de0142ce09b7081e2b9d1733cb1,campo limpo paulista,SP,1080,1147,94914.2,82.75
edb1ef5e36e0c8cd84eb3c9b003e486d,teresopolis,RJ,166,175,79284.55,453.05
